Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
32,Joseph Fauria (FA),18,30,207,11.5,25,3,7,0,0,0,0,16,82.7,5.2,0.00%
33,Lance Kendricks (FA),32,46,258,8.1,21,1,4,0,0,0,0,15,81.8,5.5,0.00%
34,Kellen Winslow (FA),31,47,388,12.5,34,2,2,0,0,0,0,12,81.8,6.8,0.00%
35,Kyle Rudolph (FA),30,46,313,10.4,31,5,3,0,0,0,0,8,79.3,9.9,0.00%
36,Andrew Quarless (FA),32,53,312,9.8,22,3,2,0,0,0,0,16,75.2,4.7,0.00%
37,Jermichael Finley (FA),25,34,300,12,52,2,3,0,0,0,0,6,73,12.2,0.00%
38,Ladarius Green (FA),17,30,376,22.1,60,4,3,0,0,0,0,16,72.6,4.5,0.00%
39,John Carlson (FA),32,47,344,10.8,30,4,1,0,0,0,1,13,70.4,5.4,0.00%
40,Logan Paulsen (FA),28,50,267,9.5,33,1,3,0,0,0,2,16,68.7,4.3,0.00%
41,Sean McGrath (FA),26,40,302,11.6,25,6,2,0,0,0,0,16,68.2,4.3,0.00%
42,Owen Daniels (FA),24,41,252,10.5,28,3,3,0,0,0,0,5,67.2,13.4,0.00%
43,Clay Harbor (FA),24,35,292,12.2,31,4,2,0,0,0,1,16,63.2,4,0.00%
44,Anthony Fasano (FA),23,33,200,8.7,20,1,3,0,0,0,0,9,61,6.8,0.10%
45,Ed Dickson (FA),25,43,273,10.9,43,1,1,0,0,0,0,16,58.3,3.6,0.00%
46,Jim Dray (FA),26,32,215,8.3,18,0,2,0,0,0,1,16,57.5,3.6,0.00%
47,Benjamin Watson (FA),19,30,226,11.9,32,3,2,0,0,0,0,15,53.6,3.6,2.80%
48,Luke Willson (FA),20,28,272,13.6,39,2,1,0,0,0,0,16,53.2,3.3,0.00%
49,Bruce Miller (FA),25,36,243,9.7,43,1,0,7,13,0,0,14,50.6,3.6,0.00%
50,Ryan Griffin (FA),19,28,244,12.8,40,1,1,0,0,0,0,15,49.4,3.3,0.00%
51,Jacob Tamme (FA),20,25,184,9.2,15,0,1,0,0,0,0,16,44.4,2.8,0.00%
52,Dennis Pitta (FA),20,33,169,8.5,18,0,1,0,0,0,0,4,42.9,10.7,0.00%
53,Gary Barnidge (FA),13,18,127,9.8,40,0,2,0,0,0,0,16,37.7,2.4,0.10%
54,Cory Harkey (FA),13,18,113,8.7,31,0,2,0,0,0,0,15,36.3,2.4,0.20%
55,Gavin Escobar (FA),9,15,134,14.9,25,3,2,0,0,0,0,16,34.4,2.2,0.00%
56,Michael Hoomanawanui (FA),12,19,136,11.3,19,0,1,0,0,0,0,13,31.6,2.4,0.10%
57,Levine Toilolo (FA),11,14,55,5,12,0,2,0,0,0,0,16,28.5,1.8,0.00%
58,Jake Ballard (FA),7,9,75,10.7,29,1,2,0,0,0,0,8,26.5,3.3,0.00%
59,Brandon Bostick (FA),7,14,120,17.1,26,4,1,0,0,0,0,11,25,2.3,0.20%
60,Chase Ford (FA),11,16,133,12.1,37,1,0,0,0,0,0,9,24.3,2.7,0.00%
61,Bear Pascoe (FA),12,20,81,6.8,14,0,0,1,2,0,0,16,20.3,1.3,0.00%
62,Fred Davis (FA),7,18,70,10,23,1,1,0,0,0,0,10,20,2,0.00%
63,Vance McDonald (FA),8,19,119,14.9,25,3,0,0,0,0,0,15,19.9,1.3,0.00%
64,James Hanna (FA),12,15,73,6.1,21,1,0,0,0,0,0,16,19.3,1.2,0.00%
65,Joel Dreessen (FA),7,9,47,6.7,14,0,1,0,0,0,0,13,17.7,1.4,0.00%
66,Rhett Ellison (FA),5,10,61,12.2,17,0,1,0,0,0,0,11,17.1,1.6,0.00%
67,Chris Gragg (FA),5,7,53,10.6,28,1,1,0,0,0,0,9,16.3,1.8,0.00%
68,Josh Hill (FA),6,10,44,7.3,9,0,1,1,-8,0,0,14,15.6,1.1,0.00%
69,Dion Sims (FA),6,10,32,5.3,8,0,1,0,0,0,0,15,15.2,1,0.00%
70,Tony Scheffler (FA),7,12,82,11.7,22,1,0,0,0,0,0,5,15.2,3,0.00%
71,Jeron Mastrud (FA),6,13,88,14.7,41,0,0,0,0,0,0,16,14.8,0.9,0.00%
72,Danny Noble (FA),2,3,63,31.5,62,0,1,0,0,0,0,8,14.3,1.8,0.00%
73,David Paulson (FA),6,10,102,17,34,0,0,0,0,0,1,16,14.2,0.9,0.00%
74,Michael Egnew (FA),7,11,69,9.9,14,0,0,0,0,0,0,16,13.9,0.9,0.00%
75,Virgil Green (FA),9,12,45,5,10,0,0,0,0,0,0,16,13.5,0.8,0.00%
76,Lee Smith (FA),5,9,78,15.6,28,2,0,0,0,0,0,16,12.8,0.8,0.00%
77,Kellen Davis (FA),3,4,32,10.7,23,1,1,0,0,0,0,15,12.2,0.8,0.20%
78,Tom Crabtree (FA),4,7,21,5.3,14,0,1,0,0,0,0,7,12.1,1.7,0.00%
79,Zach Sudfeld (FA),5,10,63,12.6,25,2,0,0,0,0,0,14,11.3,0.8,0.00%
80,David Johnson (FA),4,6,70,17.5,32,0,0,0,0,0,0,5,11,2.2,0.00%
81,Taylor Thompson (FA),3,7,13,4.3,9,0,1,0,0,0,0,16,10.3,0.6,0.00%
82,Alex Smith (FA),3,6,12,4,7,0,1,0,0,0,0,16,10.2,0.6,0.00%
83,Matthew Mulligan (FA),2,3,16,8,15,0,1,0,0,0,0,15,9.6,0.6,0.00%
84,Niles Paul (FA),4,8,51,12.8,25,1,0,0,0,0,0,15,9.1,0.6,0.00%
85,Ryan Taylor (FA),6,9,30,5,8,0,0,0,0,0,0,14,9,0.6,0.00%
86,Allen Reisner (FA),5,9,40,8,16,0,0,0,0,0,0,5,9,1.8,0.00%
87,Dwayne Allen (FA),1,2,20,20,20,1,1,0,0,0,0,1,9,9,0.00%
88,Weslye Saunders (FA),4,11,46,11.5,18,0,0,0,0,0,0,6,8.6,1.4,0.00%
89,Matt Spaeth (FA),1,2,11,11,11,0,1,0,0,0,0,4,8.1,2,0.00%
90,Nick Kasa (FA),1,5,9,9,9,0,1,0,0,0,0,16,7.9,0.5,0.00%
91,MarQueis Gray (FA),2,9,8,4,5,0,0,6,43,0,0,12,7.1,0.6,0.00%
92,John Phillips (FA),4,6,30,7.5,13,0,0,0,0,0,0,15,7,0.5,0.00%
93,Jack Doyle (FA),5,7,19,3.8,8,0,0,0,0,0,0,15,6.9,0.5,2.00%
94,Nate Byham (FA),3,3,38,12.7,34,0,0,0,0,0,0,4,6.8,1.7,0.00%
95,Kevin Brock (FA),3,6,36,12,25,1,0,0,0,0,0,4,6.6,1.7,0.00%
96,Larry Donnell (FA),3,6,31,10.3,11,0,0,0,0,0,0,16,6.1,0.4,0.00%
97,James Casey (FA),3,6,31,10.3,12,0,0,0,0,0,0,15,6.1,0.4,0.00%
98,Garrett Celek (FA),2,4,38,19,30,0,0,0,0,0,0,12,5.8,0.5,0.00%
99,Dominique Jones (FA),2,3,34,17,21,1,0,0,0,0,0,8,5.4,0.7,0.00%
100,Dorin Dickerson (FA),2,5,34,17,26,1,0,0,0,0,0,5,5.4,1.1,0.00%
101,Billy Bajema (FA),2,2,18,9,18,0,0,0,0,0,0,6,3.8,0.6,0.00%
102,Kory Sperry (FA),1,1,16,16,16,0,0,0,0,0,0,8,2.6,0.3,0.00%
103,Craig Stevens (FA),2,6,5,2.5,6,0,0,0,0,0,0,15,2.5,0.2,0.00%
104,Dante Rosario (FA),1,4,13,13,13,0,0,0,0,0,0,15,2.3,0.2,0.00%
105,Visanthe Shiancoe (FA),2,2,2,1,3,0,0,0,0,0,0,1,2.2,2.2,0.00%
106,Michael Palmer (FA),1,1,8,8,8,0,0,0,0,0,0,16,1.8,0.1,0.00%
107,Orson Charles (FA),1,2,8,8,8,0,0,0,0,0,0,13,1.8,0.1,0.00%
108,Konrad Reuland (FA),1,3,7,7,7,0,0,0,0,0,0,10,1.7,0.2,0.00%
109,Mike McNeill (FA),1,1,5,5,5,0,0,0,0,0,0,14,1.5,0.1,0.00%
110,Justice Cunningham (FA),1,1,4,4,4,0,0,0,0,0,0,1,1.4,1.4,0.00%
111,Richard Gordon (FA),1,1,3,3,3,0,0,0,0,0,0,2,1.3,0.7,0.00%
112,Richie Brockel (FA),1,1,12,12,12,0,0,1,1,0,1,16,0.3,0,0.00%
113,Phillip Supernaw (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
114,D.C. Jefferson (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
115,Keavon Milton (FA),0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.00%
116,Brandon Williams (FA),0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.00%
117,Jake Byrne (FA),0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.00%
118,Matt Veldman (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
119,Travis Kelce (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,99.90%
120,Kyle Nelson (FA),0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.00%
121,Jake Stoneburner (FA),0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.00%
122,Mike Leach (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
123,Chase Coffman (FA),0,2,0,0,0,0,0,0,0,0,0,11,0,0,0.00%
124,Ben Hartsock (FA),0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.00%
125,Clark Harris (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
126,Jake Bequette (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
127,Kyle Adams (FA),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
128,Evan Rodriguez (FA),0,1,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
129,Adrien Robinson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
130,Brad Smelley (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
131,Derek Carrier (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
132,Andre Smith (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
133,Steve Maneri (FA),0,2,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
134,D.J. Williams (FA),0,2,0,0,0,0,0,0,0,0,0,9,0,0,0.00%
135,Zach Miller (JAC),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.00%
136,Luke Stocker (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
137,Tony Moeaki (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
138,Beau Brinkley (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.20%
139,Kevin McDermott (FA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
